n_a,n_b,successes,trials,estimate,cost_weight,cost_yuan,a_cost_yuan,b_cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,cp_one_sided_95_lower,cp_one_sided_family_lower,family_size
615,1,45166,50000,0.90332,348769,9.130751068332154,9.12907555225024,0.0016755160819145562,8.69435766880975,0.03351032163829113,8.727867990448042,0.869435766880975,0.003351032163829113,0.8727867990448042,0.9011188012687312,0.9011188012687312,1
600,135,45007,50000,0.90014,348840,9.132609843985529,8.906415172927064,0.22619467105846508,8.48230016469244,4.523893421169302,13.006193585861741,0.848230016469244,0.4523893421169302,1.300619358586174,0.8979073713999849,0.8979073713999849,1
599,146,45003,50000,0.90006,348977,9.136196495598377,8.891571147638851,0.2446253479595252,8.468162997751286,4.892506959190505,13.360669956941791,0.8468162997751285,0.48925069591905046,1.3360669956941793,0.897826589732955,0.897826589732955,1
598,155,45008,50000,0.90016,348986,9.136432115047395,8.876727122350639,0.25970499269675623,8.454025830810131,5.194099853935125,13.648125684745256,0.8454025830810131,0.5194099853935125,1.3648125684745258,0.8979275668849466,0.8979275668849466,1
597,165,45002,50000,0.90004,349059,9.138343250578329,8.861883097062428,0.2764601535159018,8.43988866386898,5.529203070318037,13.969091734187016,0.843988866386898,0.5529203070318036,1.3969091734187016,0.8978063943843658,0.8978063943843658,1
596,177,45001,50000,0.90002,349260,9.143605418273092,8.847039071774216,0.2965663464988765,8.425751496927825,5.93132692997753,14.357078426905355,0.8425751496927825,0.593132692997753,1.4357078426905354,0.8977861990630301,0.8977861990630301,1
595,187,45000,50000,0.9,349333,9.145516553804026,8.832195046486005,0.313321507318022,8.411614329986671,6.266430146360442,14.678044476347113,0.8411614329986671,0.6266430146360442,1.4678044476347114,0.8977660037689393,0.8977660037689393,1
616,1,45256,50000,0.90512,349336,9.145595093620367,9.143919577538451,0.0016755160819145562,8.708494835750905,0.03351032163829113,8.742005157389196,0.8708494835750905,0.003351032163829113,0.8742005157389195,0.9029369090858288,0.9029369090858288,1
594,197,45009,50000,0.90018,349406,9.14742768933496,8.817351021197792,0.3300766681371676,8.397477163045517,6.601533362743353,14.999010525788869,0.8397477163045517,0.6601533362743353,1.499901052578887,0.8979477623972059,0.8979477623972059,1
593,206,45007,50000,0.90014,349415,9.14766330878398,8.80250699590958,0.3451563128743986,8.383339996104363,6.903126257487973,15.286466253592335,0.8383339996104363,0.6903126257487973,1.5286466253592335,0.8979073713999849,0.8979073713999849,1
592,216,45001,50000,0.90002,349488,9.149574444314913,8.78766297062137,0.36191147369354415,8.369202829163209,7.238229473870884,15.607432303034093,0.8369202829163208,0.7238229473870884,1.5607432303034092,0.8977861990630301,0.8977861990630301,1
591,227,45006,50000,0.90012,349625,9.15316109592776,8.772818945333157,0.38034215059460424,8.355065662222055,7.606843011892087,15.961908674114142,0.8355065662222055,0.7606843011892087,1.5961908674114142,0.8978871759423113,0.8978871759423113,1
590,237,45011,50000,0.90022,349698,9.155072231458695,8.757974920044946,0.3970973114137498,8.3409284952809,7.941946228274998,16.2828747235559,0.83409284952809,0.7941946228274998,1.6282874723555898,0.8979881535036419,0.8979881535036419,1
589,247,45005,50000,0.9001,349771,9.156983366989628,8.743130894756733,0.4138524722328954,8.326791328339747,8.277049444657909,16.603840772997657,0.8326791328339747,0.8277049444657908,1.6603840772997658,0.8978669805119213,0.8978669805119213,1
617,1,45346,50000,0.90692,349903,9.160439118908577,9.158763602826664,0.0016755160819145562,8.722632002692059,0.03351032163829113,8.75614232433035,0.8722632002692059,0.003351032163829113,0.875614232433035,0.9047552536282903,0.9047552536282903,1
