particle_count,volume_percent,estimate,wilson_lower,wilson_upper
596,0.8425751496927825,0.85705,0.8521304484812807,0.861832418571055
600,0.8482300164692441,0.86875,0.8639992694225811,0.8733591039860418
604,0.8538848832457057,0.87995,0.8753724129224183,0.8843816588785478
608,0.8595397500221673,0.88955,0.8851308521461099,0.8938195325625788
612,0.8651946167986291,0.8991,0.8948487650892261,0.9031979517307913
616,0.8708494835750906,0.90695,0.9028453939194379,0.9108983079344986
620,0.8765043503515523,0.91495,0.9110038016052283,0.9187368276718105
624,0.8821592171280139,0.9236,0.9198366343581503,0.9272006726951179
628,0.8878140839044755,0.93065,0.927045800374413,0.9340887989704639
632,0.8934689506809371,0.93755,0.9341117577450483,0.9408201915022546
636,0.8991238174573988,0.9439,0.9406247533720988,0.9470047570172915
640,0.9047786842338603,0.94925,0.9461209212231999,0.9522065343803902
644,0.910433551010322,0.95355,0.9505451420523783,0.9563806620411293
648,0.9160884177867835,0.959,0.9561625946129266,0.9616611162875692
652,0.9217432845632453,0.9639,0.961224377300494,0.966397451646652
656,0.9273981513397069,0.9672,0.9646404159581609,0.9695801455510148
660,0.9330530181161685,0.97055,0.9681150534847587,0.9728042213828412
664,0.9387078848926301,0.9734,0.9710773762907818,0.9755408039712983
668,0.9443627516690918,0.9762,0.9739943045993605,0.9782228002608052
672,0.9500176184455533,0.97875,0.9766574372432617,0.9806586882330182
676,0.955672485222015,0.9809,0.9789086078531286,0.98270669186811
680,0.9613273519984766,0.9831,0.9812186053728867,0.984795849389705
684,0.9669822187749383,0.98495,0.9831671032544762,0.9865466409747079
688,0.9726370855513999,0.9868,0.9851221700809543,0.9882908636148222
692,0.9782919523278616,0.9886,0.9870320416497904,0.9899803007161843
696,0.9839468191043231,0.9898,0.9883103636241743,0.9911015178552656
700,0.9896016858807848,0.9909,0.9894864446438177,0.9921250143562986
704,0.9952565526572464,0.99205,0.9907212161078601,0.9931898012093273
708,1.000911419433708,0.993,0.9917460998660389,0.9940645525826418
712,1.0065662862101696,0.9941,0.9929395958051063,0.9950706341642511
716,1.0122211529866314,0.9949,0.9938132853138729,0.9957966373977948
720,1.017876019763093,0.9955,0.9944724686459953,0.9963372236224052
