N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
566,0,38287,50000,0.76574,0.00189410798214,0.762007288022,0.769431881944
567,0,38478,50000,0.76956,0.0018832812132,0.765848211862,0.773230371175
568,0,38645,50000,0.7729,0.00187363598386,0.769206857093,0.776551212764
569,0,38815,50000,0.7763,0.00186364325985,0.772626178691,0.779931368767
570,0,38955,50000,0.7791,0.00185527997887,0.775442353146,0.782714764102
571,0,39118,50000,0.78236,0.00184538792886,0.778721488187,0.785955128174
572,0,39299,50000,0.78598,0.0018342052208,0.782363124864,0.789552935296
573,0,39473,50000,0.78946,0.00182325482805,0.785864317014,0.793011208457
574,0,39657,50000,0.79314,0.00181145764731,0.789567153233,0.796667806818
575,0,39822,50000,0.79644,0.00180068501632,0.792888010819,0.799946442198
576,0,39992,50000,0.79984,0.00178939081477,0.796309882829,0.80332404779
577,0,40178,50000,0.80356,0.00177680233228,0.800054266633,0.807019092421
578,0,40336,50000,0.80672,0.00176591529582,0.803235359125,0.810157514406
579,0,40488,50000,0.80976,0.00175527059111,0.806295985925,0.81317642052
580,0,40670,50000,0.8134,0.00174229985938,0.809961124906,0.816790722266
581,0,40851,50000,0.81702,0.00172915192855,0.813606612654,0.820384678317
582,0,41010,50000,0.8202,0.00171739314078,0.816809411896,0.82354139048
583,0,41169,50000,0.82338,0.00170543469884,0.820012602376,0.826697711403
584,0,41318,50000,0.82636,0.00169404339024,0.823014696798,0.829655159115
585,0,41452,50000,0.82904,0.00168364294552,0.82571487247,0.83231457167
586,0,41602,50000,0.83204,0.00167182199052,0.828737807286,0.835291175914
587,0,41749,50000,0.83498,0.00166005059923,0.831700649559,0.83820788192
588,0,41894,50000,0.83788,0.00164825426194,0.834623543769,0.841084542135
589,0,42053,50000,0.84106,0.00163510291052,0.837829071829,0.844238525479
590,0,42222,50000,0.84444,0.00162087066973,0.841236702682,0.847590375301
591,0,42367,50000,0.84734,0.00160844598542,0.844160828164,0.850465804244
592,0,42510,50000,0.8502,0.00159599473683,0.847045008747,0.853301184231
593,0,42643,50000,0.85286,0.00158423369741,0.84972785209,0.855937932189
594,0,42783,50000,0.85566,0.00157166131466,0.852552274608,0.85871307946
595,0,42931,50000,0.85862,0.00155815079886,0.855538523225,0.86164637605
596,0,43070,50000,0.8614,0.00154525104756,0.858343588745,0.864400883392
597,0,43206,50000,0.86412,0.00153242700055,0.861088510487,0.867095543732
598,0,43335,50000,0.8667,0.00152007309035,0.863692521646,0.869651136165
599,0,43460,50000,0.8692,0.00150792148337,0.866216142475,0.87212713122
600,0,43580,50000,0.8716,0.00149608448959,0.868639154423,0.874503750519
601,0,43710,50000,0.8742,0.0014830668225,0.871264464673,0.877078040789
602,0,43835,50000,0.8767,0.00147035444706,0.873789184305,0.879552937041
603,0,43968,50000,0.87936,0.00145661244262,0.876475909304,0.882185803341
604,0,44092,50000,0.88184,0.00144359422554,0.878981229729,0.884640101873
